id,user_id,name,url_part,accessory
87973,4646814,"HTC Desire HD",htc_desire_hd,
87974,4646814,"Apple iPad",apple_ipad,
87975,4646814,"Digma iDs10 3G",digma_ids10:3g,
88005,4645121,"LG Optimus L7 II Dual P715",lg_p_715,
88135,4640111,"Fly Cirrus 8 FS514",fly_cirrus_8_fs514,
88137,4639714,"Leagoo T5",leagoo_t5,
88144,4639329,"Apple iPhone 7",apple_iphone_7,
88181,4636722,"Asus ZenFone 5",asus_zenfone_5,
88208,4635547,"Samsung Galaxy J3 (2016) SM-J320F",samsung_galaxy_j3_2016_sm_j320f,
88219,4634951,"OnePlus 5 6/64",oneplus_5,"Amazfit Bip"
88220,4634951,"Xiaomi Mi 4c Prime",xiaomi_mi4c,"Mi band 2"
88221,4634951,"Google Nexus 5",nexus_5,"Mi band 1S"
88234,4634745,"Xiaomi Mi 6 6/64",xiaomi_mi_6,
88235,4634745,"Nokia C5-00 5MP",nokia_c5_5mp,
88236,4634745,"Thl T11",thl_t11,
88237,4634745,"Samsung Galaxy Tab 2 10.1 3G",samsung_galaxy_tab_2_10_1:3g,
88260,4633592,"Honor 9 Lite",honor_9_lite,
88261,4633592,"Huawei Ascend Y635",huawei_ascend_y635,
88262,4633592,"LeEco Le Pro 3 4GB",leeco_le_pro_3,
88263,4633592,"Samsung Galaxy Ace 2 GT-I8160",samsung_gt_i8160_galaxy_ace_2,
88276,4633041,NULL,,
88277,4633041,"Samsung Champ GT-C3300",samsung_gt_c3300,
88278,4633041,"HTC Wildfire S",htc_wildfire_s,
88279,4633041,"Nokia 6630",nokia_6630,
88286,4632384,"Xiaomi Redmi Note 5 3/32",xiaomi_redmi_note_5,
88332,4630381,"Highscreen Spider",highscreen_spider,
88352,4629358,"LeEco Le S3 X626",leeco_le_s3:x626,
88353,4629358,"UMI Rome X",umi_rome_x,
88354,4629358,"Doogee X5",doogee_x5,
88355,4629358,"Ainol NOVO7 Venus",ainol_novo7_venus,
88399,4627183,"Honor 9 Lite",honor_9_lite,
